プログラムNo.2
 層番号 材料番号  物質名  ML数 層厚[nm] 比誘電率 有効質量 障壁の高さ 谷 分割数  NX       EF  仕事関数  電荷量
      0        1 n-Si.Sub.   5     1.55     11.8     0.26        -0   6     50  50 -0.09356    4.144    1e+18
      1       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30  80        0        0        0
      2        7 i-Si        5     1.55     11.8     0.26        -0   6     50 130    -0.56        0        0
      3       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 160        0        0        0
      4        7 i-Si        4     1.24     11.8     0.26        -0   6     40 200    -0.56        0        0
      5       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 230        0        0        0
      6        7 i-Si        4     1.24     11.8     0.26        -0   6     40 270    -0.56        0        0
      7       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 300        0        0        0
      8        7 i-Si        4     1.24     11.8     0.26        -0   6     40 340    -0.56        0        0
      9       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 370        0        0        0
     10        7 i-Si        2     0.62     11.8     0.26        -0   6     20 390    -0.56        0        0
     11       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 430        0        0        0
     12        7 i-Si        5     1.55     11.8     0.26        -0   6     50 480    -0.56        0        0
     13       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 520        0        0        0
     14        7 i-Si        3     0.93     11.8     0.26        -0   6     30 550    -0.56        0        0
     15       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 590        0        0        0
     16        7 i-Si        2     0.62     11.8     0.26        -0   6     20 610    -0.56        0        0
     17       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 650        0        0        0
     18        7 i-Si        2     0.62     11.8     0.26        -0   6     20 670    -0.56        0        0
     19       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 710        0        0        0
     20        7 i-Si        2     0.62     11.8     0.26        -0   6     20 730    -0.56        0        0
     21       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 770        0        0        0
     22        7 i-Si        2     0.62     11.8     0.26        -0   6     20 790    -0.56        0        0
     23       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 830        0        0        0
     24        1 n-Si.Sub.  20      6.2     11.8     0.26        -0   6    200 1030 -0.09356    4.144    1e+18

 1ML[nm] 分割数 積分範囲    ΔE  ピーク時ΔE  N  NRTD TEMP II*temp bar[24] bar[0]
    0.31     10      0.6    1e-05    1e-09  1030  120  300  4.2e+12 なし なし
NQW[/cm2] Q[C/m2]
0.000000e+00 0.000000e+00
n z[nm] Potential[eV]
0 0.000000e+00 0.000000e+00
0 0.000000e+00 0.000000e+00
1 3.100000e-02 0.000000e+00
1 3.100000e-02 0.000000e+00
2 6.200000e-02 0.000000e+00
2 6.200000e-02 0.000000e+00
3 9.300000e-02 0.000000e+00
3 9.300000e-02 0.000000e+00
4 1.240000e-01 0.000000e+00
4 1.240000e-01 0.000000e+00
5 1.550000e-01 0.000000e+00
5 1.550000e-01 0.000000e+00
6 1.860000e-01 0.000000e+00
6 1.860000e-01 0.000000e+00
7 2.170000e-01 0.000000e+00
7 2.170000e-01 0.000000e+00
8 2.480000e-01 0.000000e+00
8 2.480000e-01 0.000000e+00
9 2.790000e-01 0.000000e+00
9 2.790000e-01 0.000000e+00
10 3.100000e-01 0.000000e+00
10 3.100000e-01 0.000000e+00
11 3.410000e-01 0.000000e+00
11 3.410000e-01 0.000000e+00
12 3.720000e-01 0.000000e+00
12 3.720000e-01 0.000000e+00
13 4.030000e-01 0.000000e+00
13 4.030000e-01 0.000000e+00
14 4.340000e-01 0.000000e+00
14 4.340000e-01 0.000000e+00
15 4.650000e-01 0.000000e+00
15 4.650000e-01 0.000000e+00
16 4.960000e-01 0.000000e+00
16 4.960000e-01 0.000000e+00
17 5.270000e-01 0.000000e+00
17 5.270000e-01 0.000000e+00
18 5.580000e-01 0.000000e+00
18 5.580000e-01 0.000000e+00
19 5.890000e-01 0.000000e+00
19 5.890000e-01 0.000000e+00
20 6.200000e-01 0.000000e+00
20 6.200000e-01 0.000000e+00
21 6.510000e-01 0.000000e+00
21 6.510000e-01 0.000000e+00
22 6.820000e-01 0.000000e+00
22 6.820000e-01 0.000000e+00
23 7.130000e-01 0.000000e+00
23 7.130000e-01 0.000000e+00
24 7.440000e-01 0.000000e+00
24 7.440000e-01 0.000000e+00
25 7.750000e-01 0.000000e+00
25 7.750000e-01 0.000000e+00
26 8.060000e-01 0.000000e+00
26 8.060000e-01 0.000000e+00
27 8.370000e-01 0.000000e+00
27 8.370000e-01 0.000000e+00
28 8.680000e-01 0.000000e+00
28 8.680000e-01 0.000000e+00
29 8.990000e-01 0.000000e+00
29 8.990000e-01 0.000000e+00
30 9.300000e-01 0.000000e+00
30 9.300000e-01 0.000000e+00
31 9.610000e-01 0.000000e+00
31 9.610000e-01 0.000000e+00
32 9.920000e-01 0.000000e+00
32 9.920000e-01 0.000000e+00
33 1.023000e+00 0.000000e+00
33 1.023000e+00 0.000000e+00
34 1.054000e+00 0.000000e+00
34 1.054000e+00 0.000000e+00
35 1.085000e+00 0.000000e+00
